"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD007394",1,"Acosta 2012",0.666666666666667,0.348875363667806,0.900753974914551,0.976744186046512,0.941528519918752,0.993627858716388,8,4,4,168
"CD007394",1,"Adam 2004",0.5,0.0125794410705566,0.987420558929443,0.810185185185185,0.751434597704146,0.860207584169176,1,41,1,175
"CD007394",1,"Allan 2005",0,0,0.974999904632568,0.911290322580645,0.846816751264757,0.954881391217631,0,11,1,113
"CD007394",1,"Badiee 2013",0.9,0.55498423576355,0.997471237182617,0.903846153846154,0.789702149537893,0.968035404498761,9,5,1,47
"CD007394",1,"Barnes 2013",0.622641509433962,0.478939317307382,0.752127809344598,0.921370967741935,0.894077605778171,0.943491681929558,33,39,20,457
"CD007394",1,"Becker 2003",0.461538461538462,0.192232131958008,0.748654769017146,0.837837837837838,0.733864384728509,0.913301107045766,6,12,7,62
"CD007394",1,"Bialek 2002",1,0.0250000953674316,1,0.5,0.246510028839111,0.753489971160889,1,8,0,8
"CD007394",1,"Bretagne 1998",0.777777777777778,0.523627546098497,0.935907575819227,0.782608695652174,0.56296908337137,0.925396546073582,14,5,4,18
"CD007394",1,"Buchheidt 2004",0.333333333333333,0.074854850769043,0.7007048924764,0.994047619047619,0.967283274446215,0.999849228631882,3,1,6,167
"CD007394",1,"Busca 2006",1,0.158113956451416,1,0.833333333333333,0.726960897445679,0.91080379486084,2,12,0,60
"CD007394",1,"Da Silva 2010",0.875,0.473490059375763,0.996840000152588,0.93167701863354,0.881040910756366,0.965402472833669,7,11,1,150
"CD007394",1,"De Mol 2013",0.866666666666667,0.595397345225016,0.983424123128255,1,0.851814746856689,1,13,0,2,23
"CD007394",1,"Doermann 2002",0.833333333333333,0.515861908594767,0.979137738545736,0.990267639902676,0.97527020981132,0.997342074874544,10,4,2,407
"CD007394",1,"Florent 2006",0.666666666666667,0.348875363667806,0.900753974914551,0.748387096774194,0.672471458681168,0.814555174304593,8,39,4,116
"CD007394",1,"Foy 2007",0.5,0.210944652557373,0.789055347442627,0.935779816513762,0.8721518472794,0.973792469829594,6,7,6,102
"CD007394",1,"Gao 2010",0.8,0.283581924438477,0.994948959350586,0.9375,0.90048685669899,0.963857173919678,4,16,1,240
"CD007394",1,"Ghosh 2013",1,0.814697742462158,1,0.484848484848485,0.39700918486624,0.573381799640078,18,68,0,64
