"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD008122",79,"Bharti 2008",0.958333333333333,0.883025308450063,0.991323788960775,0.945205479452055,0.906242128920882,0.97136991317958,69,12,3,207
"CD008122",79,"Bojang 1999",0.964705882352941,0.900303436728085,0.992661509794347,0.907407407407407,0.79699859795747,0.969247535422996,82,5,3,49
"CD008122",79,"Caraballo 1996",0.867313915857605,0.824328950307902,0.903072153480307,0.992653810835629,0.985576990878943,0.996823257432277,268,8,41,1081
"CD008122",79,"Chitkara 2004",0.985401459854015,0.948261048671973,0.998227307396214,0.990671641791045,0.978365434639489,0.996964468884824,135,5,2,531
"CD008122",79,"De Oliveira 2009",0.867021276595745,0.809984341580817,0.912059814371961,0.960341671751068,0.949729222942955,0.969261709402945,163,65,25,1574
"CD008122",79,"Dev 2004",1,0.838901996612549,1,1,0.663733005523682,1,21,0,0,9
"CD008122",79,"Devi 2002",1,0.794092655181885,1,0.976190476190476,0.916625760850452,0.997103373209635,16,2,0,82
"CD008122",79,"Durrheim 1998",0.985507246376812,0.921876852063165,0.999633346778759,0.979487179487179,0.948314468677227,0.994383200620994,68,4,1,191
"CD008122",79,"Fernando 2004",1,0.857526302337646,1,1,0.987938404083252,1,24,0,0,304
"CD008122",79,"Forney 2001",0.93598615916955,0.912841706952422,0.95453167291661,0.856013316687474,0.841334793203531,0.869817734558385,541,346,37,2057
"CD008122",79,"Gaye 1998",0.911764705882353,0.763224784065695,0.981420516967774,0.9375,0.791930705308914,0.992339611053467,31,2,3,30
"CD008122",79,"Gaye 1999",0.960629921259842,0.910514508645366,0.987095209557241,0.927272727272727,0.824132719906894,0.979829268022017,122,4,5,51
"CD008122",79,"Gerstl 2009",0.988165680473373,0.957906065607917,0.998563687476886,0.747126436781609,0.675776936542029,0.809855274770452,167,44,2,130
"CD008122",79,"Ghosh 2000",1,0.781980991363525,1,0.954545454545455,0.872857852415605,0.99052602594549,15,3,0,63
"CD008122",79,"Guthmann 2002",0.973995271867612,0.953947842825671,0.986948829452479,0.880503144654088,0.839685943891417,0.914032774151496,412,38,11,280
"CD008122",79,"Harani 2006",0.888888888888889,0.739388783772786,0.968883514404297,0.982824427480916,0.967646350387398,0.992116942660499,32,9,4,515
"CD008122",79,"Hopkins 2007",0.948096885813149,0.91583815907937,0.970663130077111,0.925278219395866,0.901872627306818,0.944583759398832,274,47,15,582
"CD008122",79,"Hopkins 2008a",0.971513133555309,0.964524027069013,0.977454707307636,0.710262974168024,0.696443145819423,0.72379659480041,2626,1245,77,3052
"CD008122",79,"Kar 1998",1,0.921294689178467,1,1,0.926026821136475,1,45,0,0,48
"CD008122",79,"Kilian 1999",0.93519882179676,0.913980667299655,0.95252386213929,0.862442040185471,0.833473572590989,0.888052334556992,635,89,44,558
"CD008122",79,"Kumar 1996",1,0.838901996612549,1,0.987012987012987,0.929752969122552,0.999671440619927,21,1,0,76
"CD008122",79,"Kumar 2004",0.96078431372549,0.945628661735385,0.972691853841146,0.918478260869565,0.905694513217263,0.9300333727961,833,165,34,1859
"CD008122",79,"Kyabayinze 2008",0.97841726618705,0.938222953741499,0.995526759744548,0.715596330275229,0.650754079906219,0.774469454354102,136,62,3,156
"CD008122",79,"Labbe 2001",0.962264150943396,0.870241749961421,0.995396740031692,0.93006993006993,0.875157206208556,0.965958228478065,51,10,2,133
"CD008122",79,"Mboera 2006a",0.882352941176471,0.63559097402236,0.985421124626609,0.986254295532646,0.965181398227862,0.996242667391538,15,4,2,287
"CD008122",79,"Mboera 2006b",0.842105263157895,0.604215521561472,0.966173975091231,0.91304347826087,0.820278976274573,0.967416846233865,16,6,3,63
"CD008122",79,"Mboera 2006c",0.96875,0.837828561663628,0.999208927154541,0.969387755102041,0.93456397251207,0.988684362294723,31,6,1,190
"CD008122",79,"Mboera 2006d",0.98,0.942665967941284,0.995856628417969,0.897435897435897,0.838788411556146,0.940229758238181,147,16,3,140
"CD008122",79,"Mboera 2006e",0.65,0.407811188697815,0.846090936660767,0.977272727272727,0.879758043722673,0.999424674294212,13,1,7,43
"CD008122",79,"Mendiratta 2006",0.925925925925926,0.845713527114303,0.97233157687717,0.986187845303867,0.968062960640501,0.995500343280603,75,5,6,357
"CD008122",79,"Mens 2007a",1,0.292401790618896,1,1,0.975866794586182,1,3,0,0,151
"CD008122",79,"Mens 2007b",0.933333333333333,0.838013394673665,0.98153813680013,0.975806451612903,0.930924004124057,0.994982688657699,56,3,4,121
"CD008122",79,"Mharakurwa 1997a",0.947368421052632,0.853800773620605,0.989011664139597,0.848101265822785,0.749692657325841,0.918972063668166,54,12,3,67
"CD008122",79,"Mharakurwa 1997b",0.929824561403509,0.829960128717255,0.980549327114172,0.717948717948718,0.551263515765851,0.849985685103979,53,11,4,28
"CD008122",79,"Mharakurwa 1997c",0.909090909090909,0.708387114784934,0.988794153386896,0.916230366492147,0.867527754518998,0.95136009336142,20,16,2,175
"CD008122",79,"Mohapatra 1996",1,0.932765483856201,1,0.957446808510638,0.854594707489014,0.994804544651762,53,2,0,45
"CD008122",79,"Moonasar 2009",0.994764397905759,0.971175912787153,0.999867384346368,0.962616822429907,0.927671820203835,0.983725004107039,190,8,1,206
"CD008122",79,"Msellem 2009",0.914754098360656,0.877590381122026,0.943558864906186,0.882857142857143,0.856691187449864,0.905740628923689,279,82,26,618
"CD008122",79,"Murahwa 1999",0.939393939393939,0.797735806667444,0.992574518377131,0.8125,0.695377141237259,0.899185061454773,31,12,2,52
"CD008122",79,"Mwanza 2005",1,0.89111852645874,1,0.655172413793103,0.545586602441196,0.753860276320885,32,30,0,57
"CD008122",79,"Nicastri 2009a",0.46875,0.290939658880234,0.652563109993935,0.990131578947368,0.97143280976697,0.997960241217362,15,3,17,301
"CD008122",79,"Nigussie 2008a",0.967105263157895,0.924906652224691,0.9892342718024,0.76,0.707568874359131,0.807214202880859,147,72,5,228
"CD008122",79,"Nigussie 2008b",1,0.967020511627197,1,0.651006711409396,0.568697426943171,0.727177587931588,110,52,0,97
"CD008122",79,"Nwuba 2001",0.931034482758621,0.772338127267772,0.991535844474003,0.958333333333333,0.857458810011546,0.994913419087728,27,2,2,46
"CD008122",79,"Omar 1999",0.75,0.428141713142395,0.945139408111572,1,0.867725849151611,1,9,0,3,26
